Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSG00000198704	6	28503296	28528215	GPX6
ENSG00000306829	6	28512615	28514149	
ENSG00000224586	6	28525881	28534955	GPX5
ENSG00000232040	6	28570535	28616212	SCAND3
ENSG00000246350	6	28587378	28591747	ZBED9-AS1
ENSG00000271440	6	28633381	28633594	COX8CP1
ENSG00000287279	6	28634783	28653506	
ENSG00000304871	6	28638434	28639173	
ENSG00000235570	6	28647356	28710117	LINC00533
ENSG00000304852	6	28694269	28695241	
ENSG00000237425	6	28732017	28732904	RPSAP2
ENSG00000307816	6	28737962	28825112	
ENSG00000307837	6	28775058	28776353	
ENSG00000235559	6	28783633	28784004	NOP56P1
ENSG00000307858	6	28788697	28789580	
ENSG00000225173	6	28836783	28839238	
ENSG00000225595	6	28859625	28864630	LINC01623
ENSG00000213916	6	28861416	28862047	RPL13P
ENSG00000300690	6	28865335	28865922	
ENSG00000233366	6	28888832	28889906	ZNF90P2
ENSG00000299124	6	28894735	28895640	
ENSG00000224157	6	28896428	28897322	HCG14
ENSG00000204713	6	28903002	28923988	TRIM27
ENSG00000212240	6	28915645	28915744	RNU6-930P
ENSG00000204709	6	28922706	28944717	LINC01556
ENSG00000297763	6	28948744	28949345	
ENSG00000305894	6	28952652	28953989	
ENSG00000308762	6	28958942	28959841	
ENSG00000228666	6	28969130	28970460	KRT18P1
ENSG00000263426	6	28977475	28977773	RN7SL471P
ENSG00000227214	6	28984724	29007931	HCG15
ENSG00000197935	6	28994785	29005316	ZNF311
ENSG00000305104	6	29021982	29036042	
ENSG00000223677	6	29026680	29027607	OR2AD1P
ENSG00000277661	6	29035991	29090485	OR2W1-AS1
ENSG00000204704	6	29044213	29045175	OR2W1
ENSG00000236909	6	29071824	29072599	OR2P1P
ENSG00000228364	6	29076573	29077168	SAR1AP1
ENSG00000204703	6	29086208	29087313	OR2B3
ENSG00000204702	6	29099490	29102701	OR2J1
ENSG00000204701	6	29108058	29114770	OR2J3
ENSG00000227206	6	29124141	29128982	
ENSG00000290479	6	29137410	29142934	
ENSG00000203492	6	29137880	29138816	OR2N1P
ENSG00000308418	6	29142963	29159834	
ENSG00000284656	6	29162475	29166201	
ENSG00000290496	6	29165631	29292963	LINC03003
ENSG00000204700	6	29170907	29175811	OR2J2
ENSG00000224233	6	29181510	29182445	OR2J4P
ENSG00000290478	6	29212886	29216933	
ENSG00000230598	6	29215236	29216179	OR2H4P
ENSG00000213911	6	29229227	29230157	OR2G1P
ENSG00000295878	6	29230701	29236425	
ENSG00000204697	6	29262703	29264079	OR2U1P
ENSG00000242524	6	29268462	29269421	OR2U2P
ENSG00000295863	6	29290442	29334469	
ENSG00000197171	6	29290711	29291653	OR2B4P
ENSG00000204695	6	29301701	29313017	OR14J1
ENSG00000230056	6	29329626	29331061	DDX6P1
ENSG00000243729	6	29353749	29431967	OR5V1
ENSG00000112462	6	29373423	29375291	OR12D3
ENSG00000280236	6	29395631	29398008	OR12D2
ENSG00000251608	6	29414928	29418905	OR12D1
ENSG00000204694	6	29425504	29457071	OR11A1
ENSG00000206474	6	29439306	29440977	OR10C1
ENSG00000277881	6	29450210	29450558	
ENSG00000204688	6	29457155	29464328	OR2H1
ENSG00000225797	6	29464596	29469806	UBDP1
ENSG00000230164	6	29475025	29476071	MAS1LP1
ENSG00000299453	6	29475464	29490408	
ENSG00000289203	6	29485157	29494226	
ENSG00000204687	6	29486697	29487956	MAS1L
ENSG00000213900	6	29489271	29489676	RPS17P1
ENSG00000229274	6	29497344	29510558	LINC02829
ENSG00000224582	6	29528721	29533665	LINC01015
ENSG00000229281	6	29537704	29538787	GPR53P
ENSG00000237988	6	29550407	29557773	OR2I1P
ENSG00000213886	6	29555515	29559732	UBD
ENSG00000204681	6	29555629	29633976	GABBR1
ENSG00000232173	6	29573909	29574836	OR2H5P
ENSG00000227609	6	29577459	29577748	TMEM183AP1
ENSG00000201330	6	29582249	29582332	SNORD32B
ENSG00000231301	6	29582508	29583025	RPL13AP
ENSG00000204657	6	29585121	29590500	OR2H2
ENSG00000309476	6	29628871	29629828	
ENSG00000301820	6	29635416	29656004	
ENSG00000235238	6	29636060	29636343	SUMO2P1
